The 'absorption cross section' of Ozone at the relevant wavelength has been updated,,,,,,,,,,,,,,,,
by the BIPM (the international bureau of weights and measures) and reflected within,,,,,,,,,,,,,,,,
the updated CEN reference method EN14625:2024. This results in an increase of ~1.24%,,,,,,,,,,,,,,,,
and will dramatically improve measurement uncertainty - this change has been applied,,,,,,,,,,,,,,,,
to all data from 1 January 2025.,,,,,,,,,,,,,,,,
Please refer to the UK-AIR data page ( https://uk-air.defra.gov.uk/data/ ) for further details:,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Daily Mean data	    supplied by UK-air on 31/12/2025",,,,,,,,,,,,,,,,
All Data GMT hour ending,,,,,,,,,,,,,,,,
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect,,,,,,,,,,,,,,,,
,Sheffield Barnsley Road,,,,Sheffield Devonshire Green,,,,,,Sheffield Tinsley,,,,,
Latitude,53.40495,,,,53.378622,,,,,,53.41058,,,,,
Longitude,-1.455815,,,,-1.478096,,,,,,-1.396139,,,,,
Site Type,Urban Traffic,,,,Urban Background,,,,,,Urban Background,,,,,
Zone,Yorkshire & Humberside,,,,Yorkshire & Humberside,,,,,,Yorkshire & Humberside,,,,,
Agglomeration,Sheffield Urban Area,,,,Sheffield Urban Area,,,,,,Sheffield Urban Area,,,,,
Local Authority,Sheffield,,,,Sheffield,,,,,,Sheffield,,,,,
Date,Nitrogen dioxide,Status,PM2.5 particulate matter (Hourly measured),Status,Ozone,Status,Nitrogen dioxide,Status,PM2.5 particulate matter (Hourly measured),Status,Ozone,Status,Nitrogen dioxide,Status,PM2.5 particulate matter (Hourly measured),Status
14/09/2022,31,V ugm-3,7,V ugm-3 (BAM),36,V ugm-3,16,V ugm-3,6,V ugm-3 (Ref.eq),,,No data,V ugm-3,7,V ugm-3 (Ref.eq)
15/09/2022,29,V ugm-3,5,V ugm-3 (BAM),49,V ugm-3,11,V ugm-3,3,V ugm-3 (Ref.eq),,,No data,V ugm-3,4,V ugm-3 (Ref.eq)
16/09/2022,28,V ugm-3,4,V ugm-3 (BAM),45,V ugm-3,14,V ugm-3,3,V ugm-3 (Ref.eq),,,No data,V ugm-3,5,V ugm-3 (Ref.eq)
17/09/2022,17,V ugm-3,2,V ugm-3 (BAM),48,V ugm-3,11,V ugm-3,2,V ugm-3 (Ref.eq),,,No data,V ugm-3,2,V ugm-3 (Ref.eq)
18/09/2022,19,V ugm-3,4,V ugm-3 (BAM),55,V ugm-3,9,V ugm-3,2,V ugm-3 (Ref.eq),,,No data,V ugm-3,5,V ugm-3 (Ref.eq)
19/09/2022,33,V ugm-3,7,V ugm-3 (BAM),38,V ugm-3,16,V ugm-3,5,V ugm-3 (Ref.eq),,,No data,V ugm-3,5,V ugm-3 (Ref.eq)
20/09/2022,45,V ugm-3,8,V ugm-3 (BAM),37,V ugm-3,24,V ugm-3,5,V ugm-3 (Ref.eq),,,No data,V ugm-3,9,V ugm-3 (Ref.eq)
21/09/2022,43,V ugm-3,No data,V ugm-3 (BAM),45,V ugm-3,21,V ugm-3,6,V ugm-3 (Ref.eq),,,No data,V ugm-3,10,V ugm-3 (Ref.eq)
22/09/2022,35,V ugm-3,No data,V ugm-3 (BAM),55,V ugm-3,16,V ugm-3,9,V ugm-3 (Ref.eq),,,No data,V ugm-3,11,V ugm-3 (Ref.eq)
23/09/2022,27,V ugm-3,5,V ugm-3 (BAM),44,V ugm-3,13,V ugm-3,4,V ugm-3 (Ref.eq),,,No data,V ugm-3,5,V ugm-3 (Ref.eq)
24/09/2022,27,V ugm-3,5,V ugm-3 (BAM),39,V ugm-3,17,V ugm-3,4,V ugm-3 (Ref.eq),,,No data,V ugm-3,3,V ugm-3 (Ref.eq)
25/09/2022,18,V ugm-3,4,V ugm-3 (BAM),46,V ugm-3,14,V ugm-3,3,V ugm-3 (Ref.eq),,,No data,V ugm-3,3,V ugm-3 (Ref.eq)
26/09/2022,19,V ugm-3,5,V ugm-3 (BAM),56,V ugm-3,8,V ugm-3,4,V ugm-3 (Ref.eq),,,No data,V ugm-3,4,V ugm-3 (Ref.eq)
27/09/2022,21,V ugm-3,4,V ugm-3 (BAM),55,V ugm-3,10,V ugm-3,3,V ugm-3 (Ref.eq),,,No data,V ugm-3,3,V ugm-3 (Ref.eq)
28/09/2022,19,V ugm-3,3,V ugm-3 (BAM),43,V ugm-3,11,V ugm-3,2,V ugm-3 (Ref.eq),,,No data,V ugm-3,2,V ugm-3 (Ref.eq)
29/09/2022,38,V ugm-3,7,V ugm-3 (BAM),39,V ugm-3,22,V ugm-3,6,V ugm-3 (Ref.eq),,,No data,V ugm-3,5,V ugm-3 (Ref.eq)
30/09/2022,39,V ugm-3,8,V ugm-3 (BAM),24,V ugm-3,25,V ugm-3,6,V ugm-3 (Ref.eq),,,No data,V ugm-3,7,V ugm-3 (Ref.eq)
01/10/2022,25,V ugm-3,6,V ugm-3 (BAM),42,V ugm-3,14,V ugm-3,5,V ugm-3 (Ref.eq),,,No data,V ugm-3,4,V ugm-3 (Ref.eq)
02/10/2022,26,V ugm-3,7,V ugm-3 (BAM),45,V ugm-3,14,V ugm-3,6,V ugm-3 (Ref.eq),,,No data,V ugm-3,6,V ugm-3 (Ref.eq)
03/10/2022,36,V ugm-3,8,V ugm-3 (BAM),27,V ugm-3,24,V ugm-3,6,V ugm-3 (Ref.eq),,,No data,V ugm-3,7,V ugm-3 (Ref.eq)
04/10/2022,22,V ugm-3,4,V ugm-3 (BAM),45,V ugm-3,10,V ugm-3,3,V ugm-3 (Ref.eq),,,No data,V ugm-3,4,V ugm-3 (Ref.eq)
05/10/2022,20,V ugm-3,4,V ugm-3 (BAM),56,V ugm-3,9,V ugm-3,2,V ugm-3 (Ref.eq),,,No data,V ugm-3,3,V ugm-3 (Ref.eq)
06/10/2022,22,V ugm-3,6,V ugm-3 (BAM),49,V ugm-3,9,V ugm-3,4,V ugm-3 (Ref.eq),,,No data,V ugm-3,5,V ugm-3 (Ref.eq)
07/10/2022,22,V ugm-3,4,V ugm-3 (BAM),52,V ugm-3,9,V ugm-3,3,V ugm-3 (Ref.eq),,,No data,V ugm-3,4,V ugm-3 (Ref.eq)
08/10/2022,31,V ugm-3,8,V ugm-3 (BAM),38,V ugm-3,19,V ugm-3,7,V ugm-3 (Ref.eq),,,No data,V ugm-3,7,V ugm-3 (Ref.eq)
09/10/2022,29,V ugm-3,8,V ugm-3 (BAM),36,V ugm-3,18,V ugm-3,6,V ugm-3 (Ref.eq),,,No data,V ugm-3,8,V ugm-3 (Ref.eq)
10/10/2022,32,V ugm-3,8,V ugm-3 (BAM),49,V ugm-3,14,V ugm-3,6,V ugm-3 (Ref.eq),,,No data,V ugm-3,7,V ugm-3 (Ref.eq)
11/10/2022,44,V ugm-3,9,V ugm-3 (BAM),23,V ugm-3,28,V ugm-3,8,V ugm-3 (Ref.eq),,,No data,V ugm-3,9,V ugm-3 (Ref.eq)
12/10/2022,39,V ugm-3,10,V ugm-3 (BAM),40,V ugm-3,19,V ugm-3,7,V ugm-3 (Ref.eq),,,No data,V ugm-3,9,V ugm-3 (Ref.eq)
13/10/2022,47,V ugm-3,11,V ugm-3 (BAM),33,V ugm-3,28,V ugm-3,7,V ugm-3 (Ref.eq),,,No data,V ugm-3,10,V ugm-3 (Ref.eq)
14/10/2022,41,V ugm-3,8,V ugm-3 (BAM),37,V ugm-3,21,V ugm-3,6,V ugm-3 (Ref.eq),,,No data,V ugm-3,7,V ugm-3 (Ref.eq)
15/10/2022,24,V ugm-3,8,V ugm-3 (BAM),53,V ugm-3,10,V ugm-3,4,V ugm-3 (Ref.eq),,,No data,V ugm-3,5,V ugm-3 (Ref.eq)
16/10/2022,26,V ugm-3,5,V ugm-3 (BAM),54,V ugm-3,13,V ugm-3,3,V ugm-3 (Ref.eq),,,No data,V ugm-3,3,V ugm-3 (Ref.eq)
17/10/2022,30,V ugm-3,5,V ugm-3 (BAM),55,V ugm-3,10,V ugm-3,4,V ugm-3 (Ref.eq),,,No data,V ugm-3,6,V ugm-3 (Ref.eq)
18/10/2022,47,V ugm-3,10,V ugm-3 (BAM),26,V ugm-3,33,V ugm-3,8,V ugm-3 (Ref.eq),,,No data,V ugm-3,9,V ugm-3 (Ref.eq)
19/10/2022,40,V ugm-3,5,V ugm-3 (BAM),45,V ugm-3,21,V ugm-3,6,V ugm-3 (Ref.eq),,,No data,V ugm-3,6,V ugm-3 (Ref.eq)
20/10/2022,43,V ugm-3,13,V ugm-3 (BAM),11,V ugm-3,29,V ugm-3,10,V ugm-3 (Ref.eq),,,No data,V ugm-3,11,V ugm-3 (Ref.eq)
21/10/2022,47,V ugm-3,12,V ugm-3 (BAM),30,V ugm-3,26,V ugm-3,8,V ugm-3 (Ref.eq),,,No data,V ugm-3,8,V ugm-3 (Ref.eq)
22/10/2022,34,V ugm-3,8,V ugm-3 (BAM),46,V ugm-3,19,V ugm-3,6,V ugm-3 (Ref.eq),,,No data,V ugm-3,6,V ugm-3 (Ref.eq)
23/10/2022,38,V ugm-3,11,V ugm-3 (BAM),21,V ugm-3,25,V ugm-3,8,V ugm-3 (Ref.eq),,,No data,V ugm-3,7,V ugm-3 (Ref.eq)
24/10/2022,30,V ugm-3,5,V ugm-3 (BAM),50,V ugm-3,13,V ugm-3,3,V ugm-3 (Ref.eq),,,No data,V ugm-3,5,V ugm-3 (Ref.eq)
25/10/2022,38,V ugm-3,7,V ugm-3 (BAM),41,V ugm-3,21,V ugm-3,5,V ugm-3 (Ref.eq),,,No data,V ugm-3,5,V ugm-3 (Ref.eq)
26/10/2022,30,V ugm-3,7,V ugm-3 (BAM),51,V ugm-3,13,V ugm-3,6,V ugm-3 (Ref.eq),,,No data,V ugm-3,6,V ugm-3 (Ref.eq)
27/10/2022,44,V ugm-3,12,V ugm-3 (BAM),26,V ugm-3,26,V ugm-3,8,V ugm-3 (Ref.eq),,,No data,V ugm-3,8,V ugm-3 (Ref.eq)
28/10/2022,33,V ugm-3,7,V ugm-3 (BAM),45,V ugm-3,18,V ugm-3,5,V ugm-3 (Ref.eq),,,No data,V ugm-3,6,V ugm-3 (Ref.eq)
29/10/2022,46,V ugm-3,15,V ugm-3 (BAM),18,V ugm-3,32,V ugm-3,13,V ugm-3 (Ref.eq),,,No data,V ugm-3,11,V ugm-3 (Ref.eq)
30/10/2022,30,V ugm-3,8,V ugm-3 (BAM),50,V ugm-3,14,V ugm-3,6,V ugm-3 (Ref.eq),,,No data,V ugm-3,6,V ugm-3 (Ref.eq)
31/10/2022,39,V ugm-3,10,V ugm-3 (BAM),38,V ugm-3,24,V ugm-3,7,V ugm-3 (Ref.eq),,,No data,V ugm-3,8,V ugm-3 (Ref.eq)
01/11/2022,33,V ugm-3,6,V ugm-3 (BAM),50,V ugm-3,15,V ugm-3,4,V ugm-3 (Ref.eq),,,No data,V ugm-3,5,V ugm-3 (Ref.eq)
02/11/2022,24,V ugm-3,5,V ugm-3 (BAM),53,V ugm-3,12,V ugm-3,5,V ugm-3 (Ref.eq),,,No data,V ugm-3,7,V ugm-3 (Ref.eq)
03/11/2022,47,V ugm-3,10,V ugm-3 (BAM),32,V ugm-3,27,V ugm-3,10,V ugm-3 (Ref.eq),,,No data,V ugm-3,12,V ugm-3 (Ref.eq)
04/11/2022,36,V ugm-3,7,V ugm-3 (BAM),32,V ugm-3,24,V ugm-3,8,V ugm-3 (Ref.eq),,,No data,V ugm-3,7,V ugm-3 (Ref.eq)
05/11/2022,41,V ugm-3,20,V ugm-3 (BAM),36,V ugm-3,21,V ugm-3,11,V ugm-3 (Ref.eq),,,No data,V ugm-3,15,V ugm-3 (Ref.eq)
06/11/2022,35,V ugm-3,13,V ugm-3 (BAM),37,V ugm-3,19,V ugm-3,11,V ugm-3 (Ref.eq),,,No data,V ugm-3,13,V ugm-3 (Ref.eq)
07/11/2022,31,V ugm-3,7,V ugm-3 (BAM),53,V ugm-3,14,V ugm-3,6,V ugm-3 (Ref.eq),,,No data,V ugm-3,8,V ugm-3 (Ref.eq)
08/11/2022,26,V ugm-3,4,V ugm-3 (BAM),64,V ugm-3,11,V ugm-3,3,V ugm-3 (Ref.eq),,,No data,V ugm-3,6,V ugm-3 (Ref.eq)
09/11/2022,30,V ugm-3,5,V ugm-3 (BAM),52,V ugm-3,12,V ugm-3,4,V ugm-3 (Ref.eq),,,No data,V ugm-3,5,V ugm-3 (Ref.eq)
10/11/2022,20,V ugm-3,4,V ugm-3 (BAM),55,V ugm-3,8,V ugm-3,2,V ugm-3 (Ref.eq),,,No data,V ugm-3,3,V ugm-3 (Ref.eq)
11/11/2022,25,V ugm-3,6,V ugm-3 (BAM),49,V ugm-3,12,V ugm-3,4,V ugm-3 (Ref.eq),,,No data,V ugm-3,4,V ugm-3 (Ref.eq)
12/11/2022,41,V ugm-3,18,V ugm-3 (BAM),31,V ugm-3,25,V ugm-3,15,V ugm-3 (Ref.eq),,,No data,V ugm-3,13,V ugm-3 (Ref.eq)
13/11/2022,36,V ugm-3,18,V ugm-3 (BAM),12,V ugm-3,25,V ugm-3,16,V ugm-3 (Ref.eq),,,No data,V ugm-3,17,V ugm-3 (Ref.eq)
14/11/2022,42,V ugm-3,19,V ugm-3 (BAM),7,V ugm-3,28,V ugm-3,18,V ugm-3 (Ref.eq),,,No data,V ugm-3,20,V ugm-3 (Ref.eq)
15/11/2022,51,V ugm-3,8,V ugm-3 (BAM),36,V ugm-3,29,V ugm-3,5,V ugm-3 (Ref.eq),,,No data,V ugm-3,6,V ugm-3 (Ref.eq)
16/11/2022,49,V ugm-3,9,V ugm-3 (BAM),32,V ugm-3,31,V ugm-3,7,V ugm-3 (Ref.eq),,,No data,V ugm-3,6,V ugm-3 (Ref.eq)
17/11/2022,24,V ugm-3,3,V ugm-3 (BAM),36,V ugm-3,16,V ugm-3,3,V ugm-3 (Ref.eq),,,No data,V ugm-3,3,V ugm-3 (Ref.eq)
18/11/2022,26,V ugm-3,3,V ugm-3 (BAM),38,V ugm-3,13,V ugm-3,2,V ugm-3 (Ref.eq),,,No data,V ugm-3,2,V ugm-3 (Ref.eq)
19/11/2022,37,V ugm-3,8,V ugm-3 (BAM),31,V ugm-3,23,V ugm-3,7,V ugm-3 (Ref.eq),,,No data,V ugm-3,6,V ugm-3 (Ref.eq)
20/11/2022,45,V ugm-3,8,V ugm-3 (BAM),39,V ugm-3,22,V ugm-3,7,V ugm-3 (Ref.eq),,,No data,V ugm-3,7,V ugm-3 (Ref.eq)
21/11/2022,50,V ugm-3,9,V ugm-3 (BAM),21,V ugm-3,35,V ugm-3,6,V ugm-3 (Ref.eq),,,No data,V ugm-3,6,V ugm-3 (Ref.eq)
22/11/2022,41,V ugm-3,8,V ugm-3 (BAM),35,V ugm-3,22,V ugm-3,6,V ugm-3 (Ref.eq),,,No data,V ugm-3,6,V ugm-3 (Ref.eq)
23/11/2022,45,V ugm-3,8,V ugm-3 (BAM),41,V ugm-3,23,V ugm-3,6,V ugm-3 (Ref.eq),,,No data,V ugm-3,9,V ugm-3 (Ref.eq)
24/11/2022,40,V ugm-3,8,V ugm-3 (BAM),50,V ugm-3,21,V ugm-3,6,V ugm-3 (Ref.eq),,,No data,V ugm-3,9,V ugm-3 (Ref.eq)
25/11/2022,38,V ugm-3,7,V ugm-3 (BAM),42,V ugm-3,21,V ugm-3,6,V ugm-3 (Ref.eq),,,No data,V ugm-3,7,V ugm-3 (Ref.eq)
26/11/2022,29,V ugm-3,7,V ugm-3 (BAM),49,V ugm-3,15,V ugm-3,7,V ugm-3 (Ref.eq),,,No data,V ugm-3,7,V ugm-3 (Ref.eq)
27/11/2022,40,V ugm-3,12,V ugm-3 (BAM),37,V ugm-3,27,V ugm-3,13,V ugm-3 (Ref.eq),,,No data,V ugm-3,12,V ugm-3 (Ref.eq)
28/11/2022,46,V ugm-3,12,V ugm-3 (BAM),27,V ugm-3,30,V ugm-3,11,V ugm-3 (Ref.eq),,,No data,V ugm-3,13,V ugm-3 (Ref.eq)
29/11/2022,49,V ugm-3,14,V ugm-3 (BAM),11,V ugm-3,36,V ugm-3,12,V ugm-3 (Ref.eq),,,No data,V ugm-3,16,V ugm-3 (Ref.eq)
30/11/2022,49,V ugm-3,15,V ugm-3 (BAM),15,V ugm-3,32,V ugm-3,14,V ugm-3 (Ref.eq),,,No data,V ugm-3,16,V ugm-3 (Ref.eq)
01/12/2022,42,V ugm-3,20,V ugm-3 (BAM),22,V ugm-3,23,V ugm-3,16,V ugm-3 (Ref.eq),,,No data,V ugm-3,19,V ugm-3 (Ref.eq)
02/12/2022,48,V ugm-3,18,V ugm-3 (BAM),7,V ugm-3,33,V ugm-3,17,V ugm-3 (Ref.eq),,,No data,V ugm-3,21,V ugm-3 (Ref.eq)
03/12/2022,36,V ugm-3,6,V ugm-3 (BAM),24,V ugm-3,24,V ugm-3,7,V ugm-3 (Ref.eq),,,No data,V ugm-3,5,V ugm-3 (Ref.eq)
04/12/2022,29,V ugm-3,9,V ugm-3 (BAM),29,V ugm-3,21,V ugm-3,8,V ugm-3 (Ref.eq),,,No data,V ugm-3,6,V ugm-3 (Ref.eq)
05/12/2022,31,V ugm-3,6,V ugm-3 (BAM),26,V ugm-3,21,V ugm-3,6,V ugm-3 (Ref.eq),,,No data,V ugm-3,5,V ugm-3 (Ref.eq)
06/12/2022,37,V ugm-3,5,V ugm-3 (BAM),44,V ugm-3,19,V ugm-3,4,V ugm-3 (Ref.eq),,,No data,V ugm-3,5,V ugm-3 (Ref.eq)
07/12/2022,40,V ugm-3,5,V ugm-3 (BAM),40,V ugm-3,30,V ugm-3,5,V ugm-3 (Ref.eq),,,No data,V ugm-3,5,V ugm-3 (Ref.eq)
08/12/2022,50,V ugm-3,8,V ugm-3 (BAM),41,V ugm-3,29,V ugm-3,6,V ugm-3 (Ref.eq),,,No data,V ugm-3,6,V ugm-3 (Ref.eq)
09/12/2022,51,V ugm-3,9,V ugm-3 (BAM),27,V ugm-3,33,V ugm-3,6,V ugm-3 (Ref.eq),,,No data,V ugm-3,8,V ugm-3 (Ref.eq)
10/12/2022,57,V ugm-3,15,V ugm-3 (BAM),25,V ugm-3,35,V ugm-3,12,V ugm-3 (Ref.eq),,,No data,V ugm-3,14,V ugm-3 (Ref.eq)
11/12/2022,50,V ugm-3,20,V ugm-3 (BAM),23,V ugm-3,31,V ugm-3,18,V ugm-3 (Ref.eq),,,No data,V ugm-3,19,V ugm-3 (Ref.eq)
12/12/2022,53,V ugm-3,32,V ugm-3 (BAM),7,V ugm-3,40,V ugm-3,29,V ugm-3 (Ref.eq),,,No data,V ugm-3,30,V ugm-3 (Ref.eq)
13/12/2022,59,V ugm-3,33,V ugm-3 (BAM),9,V ugm-3,40,V ugm-3,27,V ugm-3 (Ref.eq),,,No data,V ugm-3,30,V ugm-3 (Ref.eq)
14/12/2022,52,V ugm-3,13,V ugm-3 (BAM),29,V ugm-3,35,V ugm-3,12,V ugm-3 (Ref.eq),,,50,V ugm-3,13,V ugm-3 (Ref.eq)
15/12/2022,59,V ugm-3,8,V ugm-3 (BAM),31,V ugm-3,42,V ugm-3,11,V ugm-3 (Ref.eq),,,62,V ugm-3,9,V ugm-3 (Ref.eq)
16/12/2022,83,V ugm-3,17,V ugm-3 (BAM),17,V ugm-3,47,V ugm-3,12,V ugm-3 (Ref.eq),,,58,V ugm-3,14,V ugm-3 (Ref.eq)
17/12/2022,45,V ugm-3,13,V ugm-3 (BAM),35,V ugm-3,25,V ugm-3,10,V ugm-3 (Ref.eq),,,31,V ugm-3,11,V ugm-3 (Ref.eq)
18/12/2022,48,V ugm-3,19,V ugm-3 (BAM),19,V ugm-3,30,V ugm-3,16,V ugm-3 (Ref.eq),,,25,V ugm-3,16,V ugm-3 (Ref.eq)
19/12/2022,27,V ugm-3,4,V ugm-3 (BAM),54,V ugm-3,9,V ugm-3,2,V ugm-3 (Ref.eq),,,18,V ugm-3,2,V ugm-3 (Ref.eq)
20/12/2022,45,V ugm-3,7,V ugm-3 (BAM),45,V ugm-3,23,V ugm-3,6,V ugm-3 (Ref.eq),,,36,V ugm-3,7,V ugm-3 (Ref.eq)
21/12/2022,36,V ugm-3,6,V ugm-3 (BAM),51,V ugm-3,16,V ugm-3,5,V ugm-3 (Ref.eq),,,34,V ugm-3,6,V ugm-3 (Ref.eq)
22/12/2022,63,V ugm-3,14,V ugm-3 (BAM),16,V ugm-3,38,V ugm-3,12,V ugm-3 (Ref.eq),,,45,V ugm-3,12,V ugm-3 (Ref.eq)
23/12/2022,62,V ugm-3,12,V ugm-3 (BAM),12,V ugm-3,41,V ugm-3,11,V ugm-3 (Ref.eq),,,38,V ugm-3,9,V ugm-3 (Ref.eq)
24/12/2022,40,V ugm-3,8,V ugm-3 (BAM),47,V ugm-3,19,V ugm-3,7,V ugm-3 (Ref.eq),,,18,V ugm-3,7,V ugm-3 (Ref.eq)
25/12/2022,18,V ugm-3,6,V ugm-3 (BAM),63,V ugm-3,7,V ugm-3,5,V ugm-3 (Ref.eq),,,9,V ugm-3,5,V ugm-3 (Ref.eq)
26/12/2022,19,V ugm-3,4,V ugm-3 (BAM),69,V ugm-3,6,V ugm-3,3,V ugm-3 (Ref.eq),,,14,V ugm-3,3,V ugm-3 (Ref.eq)
27/12/2022,31,V ugm-3,4,V ugm-3 (BAM),58,V ugm-3,10,V ugm-3,3,V ugm-3 (Ref.eq),,,17,V ugm-3,4,V ugm-3 (Ref.eq)
28/12/2022,25,V ugm-3,4,V ugm-3 (BAM),63,V ugm-3,11,V ugm-3,3,V ugm-3 (Ref.eq),,,14,V ugm-3,4,V ugm-3 (Ref.eq)
29/12/2022,21,V ugm-3,4,V ugm-3 (BAM),61,V ugm-3,9,V ugm-3,3,V ugm-3 (Ref.eq),,,16,V ugm-3,3,V ugm-3 (Ref.eq)
30/12/2022,22,V ugm-3,4,V ugm-3 (BAM),61,V ugm-3,9,V ugm-3,4,V ugm-3 (Ref.eq),,,12,V ugm-3,5,V ugm-3 (Ref.eq)
31/12/2022,50,V ugm-3,8,V ugm-3 (BAM),49,V ugm-3,24,V ugm-3,4,V ugm-3 (Ref.eq),,,28,V ugm-3,5,V ugm-3 (Ref.eq)
01/01/2023,22,V ugm-3,6,V ugm-3 (BAM),64,V ugm-3,11,V ugm-3,5,V ugm-3 (Ref.eq),,,13,V ugm-3,5,V ugm-3 (Ref.eq)
02/01/2023,50,V ugm-3,10,V ugm-3 (BAM),45,V ugm-3,21,V ugm-3,6,V ugm-3 (Ref.eq),,,35,V ugm-3,7,V ugm-3 (Ref.eq)
03/01/2023,38,V ugm-3,9,V ugm-3 (BAM),41,V ugm-3,21,V ugm-3,6,V ugm-3 (Ref.eq),,,25,V ugm-3,8,V ugm-3 (Ref.eq)
04/01/2023,18,V ugm-3,4,V ugm-3 (BAM),65,V ugm-3,6,V ugm-3,4,V ugm-3 (Ref.eq),,,14,V ugm-3,4,V ugm-3 (Ref.eq)
05/01/2023,30,V ugm-3,5,V ugm-3 (BAM),56,V ugm-3,15,V ugm-3,4,V ugm-3 (Ref.eq),,,22,V ugm-3,4,V ugm-3 (Ref.eq)
06/01/2023,31,V ugm-3,5,V ugm-3 (BAM),61,V ugm-3,17,V ugm-3,5,V ugm-3 (Ref.eq),,,24,V ugm-3,5,V ugm-3 (Ref.eq)
07/01/2023,21,V ugm-3,2,V ugm-3 (BAM),71,V ugm-3,10,V ugm-3,2,V ugm-3 (Ref.eq),,,10,V ugm-3,2,V ugm-3 (Ref.eq)
08/01/2023,23,V ugm-3,3,V ugm-3 (BAM),69,V ugm-3,11,V ugm-3,3,V ugm-3 (Ref.eq),,,13,V ugm-3,3,V ugm-3 (Ref.eq)
09/01/2023,29,V ugm-3,5,V ugm-3 (BAM),67,V ugm-3,11,V ugm-3,5,V ugm-3 (Ref.eq),,,23,V ugm-3,5,V ugm-3 (Ref.eq)
10/01/2023,26,V ugm-3,4,V ugm-3 (BAM),62,V ugm-3,12,V ugm-3,3,V ugm-3 (Ref.eq),,,18,V ugm-3,4,V ugm-3 (Ref.eq)
11/01/2023,28,V ugm-3,5,V ugm-3 (BAM),74,V ugm-3,10,V ugm-3,5,V ugm-3 (Ref.eq),,,25,V ugm-3,6,V ugm-3 (Ref.eq)
12/01/2023,29,V ugm-3,6,V ugm-3 (BAM),73,V ugm-3,11,V ugm-3,4,V ugm-3 (Ref.eq),,,23,V ugm-3,5,V ugm-3 (Ref.eq)
13/01/2023,24,V ugm-3,6,V ugm-3 (BAM),69,V ugm-3,11,V ugm-3,5,V ugm-3 (Ref.eq),,,17,V ugm-3,5,V ugm-3 (Ref.eq)
14/01/2023,26,V ugm-3,4,V ugm-3 (BAM),71,V ugm-3,9,V ugm-3,3,V ugm-3 (Ref.eq),,,17,V ugm-3,4,V ugm-3 (Ref.eq)
15/01/2023,37,V ugm-3,7,V ugm-3 (BAM),54,V ugm-3,21,V ugm-3,6,V ugm-3 (Ref.eq),,,27,V ugm-3,8,V ugm-3 (Ref.eq)
16/01/2023,54,V ugm-3,10,V ugm-3 (BAM),44,V ugm-3,23,V ugm-3,6,V ugm-3 (Ref.eq),,,40,V ugm-3,8,V ugm-3 (Ref.eq)
17/01/2023,55,V ugm-3,10,V ugm-3 (BAM),46,V ugm-3,24,V ugm-3,5,V ugm-3 (Ref.eq),,,44,V ugm-3,7,V ugm-3 (Ref.eq)
18/01/2023,42,V ugm-3,6,V ugm-3 (BAM),53,V ugm-3,17,V ugm-3,4,V ugm-3 (Ref.eq),,,36,V ugm-3,5,V ugm-3 (Ref.eq)
19/01/2023,46,V ugm-3,8,V ugm-3 (BAM),44,V ugm-3,28,V ugm-3,5,V ugm-3 (Ref.eq),,,41,V ugm-3,6,V ugm-3 (Ref.eq)
20/01/2023,53,V ugm-3,8,V ugm-3 (BAM),42,V ugm-3,28,V ugm-3,8,V ugm-3 (Ref.eq),,,35,V ugm-3,6,V ugm-3 (Ref.eq)
21/01/2023,68,V ugm-3,25,V ugm-3 (BAM),11,V ugm-3,45,V ugm-3,20,V ugm-3 (Ref.eq),,,46,V ugm-3,22,V ugm-3 (Ref.eq)
22/01/2023,51,V ugm-3,25,V ugm-3 (BAM),23,V ugm-3,31,V ugm-3,20,V ugm-3 (Ref.eq),,,38,V ugm-3,23,V ugm-3 (Ref.eq)
23/01/2023,56,V ugm-3,28,V ugm-3 (BAM),10,V ugm-3,42,V ugm-3,26,V ugm-3 (Ref.eq),,,42,V ugm-3,26,V ugm-3 (Ref.eq)
24/01/2023,71,V ugm-3,25,V ugm-3 (BAM),17,V ugm-3,43,V ugm-3,13,V ugm-3 (Ref.eq),,,52,V ugm-3,23,V ugm-3 (Ref.eq)
25/01/2023,47,V ugm-3,7,V ugm-3 (BAM),39,V ugm-3,25,V ugm-3,5,V ugm-3 (Ref.eq),,,39,V ugm-3,10,V ugm-3 (Ref.eq)
26/01/2023,39,V ugm-3,6,V ugm-3 (BAM),54,V ugm-3,22,V ugm-3,5,V ugm-3 (Ref.eq),,,18,V ugm-3,5,V ugm-3 (Ref.eq)
27/01/2023,57,V ugm-3,8,V ugm-3 (BAM),48,V ugm-3,28,V ugm-3,7,V ugm-3 (Ref.eq),,,32,V ugm-3,6,V ugm-3 (Ref.eq)
28/01/2023,49,V ugm-3,10,V ugm-3 (BAM),42,V ugm-3,26,V ugm-3,7,V ugm-3 (Ref.eq),,,40,V ugm-3,9,V ugm-3 (Ref.eq)
29/01/2023,21,V ugm-3,5,V ugm-3 (BAM),60,V ugm-3,9,V ugm-3,5,V ugm-3 (Ref.eq),,,15,V ugm-3,5,V ugm-3 (Ref.eq)
30/01/2023,27,V ugm-3,7,V ugm-3 (BAM),68,V ugm-3,9,V ugm-3,7,V ugm-3 (Ref.eq),,,21,V ugm-3,8,V ugm-3 (Ref.eq)
